Question,Options,Correct Option,Explanation,Topic
A jar full of whisky contains 40% alcohol. A part of this whisky is replaced by another containing 19% alcohol and now the percentage of alcohol was found to be 26%. The quantity of whisky replaced is:,"['13', '23', '25', '35']",B,"By the rule of alligation, we have:Strength of first jarStrength of 2ndjar40%MeanStrength26%19%714So, ratio of 1stand 2ndquantities = 7 : 14 = 1 : 2Required quantity replaced =23",alligation-or-mixture
In what ratio must water be mixed with milk to gain 16% on selling the mixture at cost price?,"['1 : 6', '6 : 1', '2 : 3', '4 : 3']",A,"Let C.P. of 1 litre milk be Re. 1.S.P. of 1 litre of mixture = Re.1, Gain =50%.3C.P. of 1 litre of mixture =100 x3x 1=63507By the rule of alligation, we have:C.P. of 1 litre of waterC.P. of 1 litre of milk0Mean PriceRe.67Re. 11767Ratio of water and milk =1:6= 1 : 6.77",alligation-or-mixture
Find the ratio in which rice at Rs. 7.20 a kg be mixed with rice at Rs. 5.70 a kg to produce a mixture worth Rs. 6.30 a kg.,"['1 : 3', '2 : 3', '3 : 4', '4 : 5']",B,By the rule of alligation:Cost of 1 kg of 1stkindCost of 1 kg of 2ndkind720 pMean Price630 p570 p6090Required ratio = 60 : 90 = 2 : 3.,alligation-or-mixture
In what ratio must a grocer mix two varieties of tea worth Rs. 60 a kg and Rs. 65 a kg so that by selling the mixture at Rs. 68.20 a kg he may gain 10%?,"['3 : 2', '3 : 4', '3 : 5', '4 : 5']",A,"S.P. of 1 kg of the mixture = Rs. 68.20, Gain = 10%.C.P. of 1 kg of the mixture = Rs.100x 68.20= Rs. 62.110By the rule of alligation, we have:Cost of 1 kg tea of 1stkind.Cost of 1 kg tea of 2ndkind.Rs. 60Mean PriceRs. 62Rs. 6532Required ratio = 3 : 2.",alligation-or-mixture
"The cost of Type 1 rice is Rs. 15 per kg and Type 2 rice is Rs. 20 per kg. If both Type 1 and Type 2 are mixed in the ratio of 2 : 3, then the price per kg of the mixed variety of rice is:","['Rs. 18', 'Rs. 18.50', 'Rs. 19', 'Rs. 19.50']",A,"Let the price of the mixed variety be Rs.xper kg.By rule of alligation, we have:Cost of 1 kg of Type 1 riceCost of 1 kg of Type 2 riceRs. 15Mean PriceRs.xRs. 20(20 -x)(x- 15)(20 -x)=2(x- 15)360 - 3x= 2x- 305x= 90x= 18.",alligation-or-mixture
8 litres are drawn from a cask full of wine and is then filled with water. This operation is performed three more times. The ratio of the quantity of wine now left in cask to that of water is 16 : 65. How much wine did the cask hold originally?,"['18 litres', '24 litres', '32 litres', '42 litres']",B,"Let the quantity of the wine in the cask originally bexlitres.Then, quantity of wine left in cask after 4 operations =x1 -84litres.xx(1 - (8/x))4=16x811 -84=24x3x- 8=2x33x- 24 = 2xx= 24.",alligation-or-mixture
"A merchant has 1000 kg of sugar, part of which he sells at 8% profit and the rest at 18% profit. He gains 14% on the whole. The quantity sold at 18% profit is:","['400 kg', '560 kg', '600 kg', '640 kg']",C,"By the rule of alligation, we have:Profit on 1stpartProfit on 2ndpart8%Mean Profit14%18%46Ration of 1stand 2ndparts = 4 : 6 = 2 : 3Quantity of 2ndkind =3x 1000kg= 600 kg.5",alligation-or-mixture
Which of the following statements is not correct?,"['log1010 = 1', 'log (2 + 3) = log (2 x 3)', 'log101 = 0', 'log (1 + 2 + 3) = log 1 + log 2 + log 3']",B,"(a) Since logaa= 1, so log1010 = 1.(b) log (2 + 3) = log 5 and log (2 x 3) = log 6 = log 2 + log 3log (2 + 3)log (2 x 3)(c) Since loga1 = 0, so log101 = 0.(d) log (1 + 2 + 3) = log 6 = log (1 x 2 x 3) = log 1 + log 2 + log 3.So, (b) is incorrect.",logarithm
"If log 2 = 0.3010 and log 3 = 0.4771, the value of log5512 is:","['2.870', '2.967', '3.876', '3.912']",C,log5512=log 512log 5=log 29log (10/2)=9 log 2log 10 - log 2=(9 x 0.3010)1 - 0.3010=2.7090.699=2709699= 3.876,logarithm
log8is equal to:log 8,"['18', '14', '12', '18']",C,log8=log (8)1/2=log 8=1.log 8log 8log 82,logarithm
"If log 27 = 1.431, then the value of log 9 is:","['0.934', '0.945', '0.954', '0.958']",C,log 27 = 1.431log (33) = 1.4313 log 3 = 1.431log 3 = 0.477log 9 = log(32) = 2 log 3 = (2 x 0.477) = 0.954.,logarithm
"If loga+logb= log (a+b), then:ba","['a+b= 1', 'a-b= 1', 'a=b', 'a2-b2= 1']",A,"loga+ logb= log (a+b)balog (a+b) = logaxb= log 1.baSo,a+b= 1.",logarithm
"If log107 =a, then log101is equal to:70","['- (1 +a)', '(1 +a)-1', 'a10', '110a']",A,log10170= log101 - log1070= - log10(7 x 10)= - (log107 + log1010)= - (a+ 1).,logarithm
"If log102 = 0.3010, then log210 is equal to:","['699301', '1000301', '0.3010', '0.6990']",B,log210 =1=1=10000=1000.log1020.30103010301,logarithm
"If log102 = 0.3010, the value of log1080 is:","['1.6020', '1.9030', '3.9030', 'None of these']",B,log1080= log10(8 x 10)= log108 + log1010= log10(23) + 1= 3 log102 + 1= (3 x 0.3010) + 1= 1.9030.,logarithm
"If log105 + log10(5x+ 1) = log10(x+ 5) + 1, thenxis equal to:","['1', '3', '5', '10']",B,log105 + log10(5x+ 1) = log10(x+ 5) + 1log105 + log10(5x+ 1) = log10(x+ 5) + log1010log10[5 (5x+ 1)] = log10[10(x+ 5)]5(5x+ 1) = 10(x+ 5)5x+ 1 = 2x+ 103x= 9x= 3.,logarithm
The value of1+1+1is:log360log460log560,"['0', '1', '5', '60']",B,Given expression= log603 + log604 + log605= log60(3 x 4 x 5)= log6060= 1.,logarithm
"If log 2 = 0.30103, the number of digits in 264is:","['18', '19', '20', '21']",C,"log (264)= 64 x log 2= (64 x 0.30103)= 19.26592Its characteristic is 19.Hence, then number of digits in 264is 20.",logarithm
"If logx9= -1, thenxis equal to:162","['-34', '34', '81256', '25681']",D,logx9= -1162x-1/2=9161=9x16x=169x=1629x=25681,logarithm
"Ifax=by, then:","['loga=xby', 'loga=xlogby', 'loga=ylogbx', 'None of these']",C,ax=bylogax= logbyxloga=ylogbloga=y.logbx,logarithm
"If logxy= 100 and log2x= 10, then the value ofyis:","['210', '2100', '21000', '210000']",C,log2x= 10x= 210.logxy= 100y=x100y= (210)100[put value ofx]y= 21000.,logarithm
The value of log216 is:,"['18', '4', '8', '16']",B,"Let log216 =n.Then, 2n= 16 = 24n= 4.log216 = 4.",logarithm
"In a 100 m race, A can give B 10 m and C 28 m. In the same race B can give C:","['18 m', '20 m', '27 m', '9 m']",B,"A : B = 100 : 90.A : C = 100 : 72.B : C =BxA=90x100=90.AC1007272When B runs 90 m, C runs 72 m.When B runs 100 m, C runs72x 100m= 80 m.90B can give C 20 m.",races-and-games
A and B take part in 100 m race. A runs at 5 kmph. A gives B a start of 8 m and still beats him by 8 seconds. The speed of B is:,"['5.15 kmph', '4.14 kmph', '4.25 kmph', '4.4 kmph']",B,A's speed =5 x5m/sec=25m/sec.1818Time taken by A to cover 100 m =100 x18sec= 72 sec.25Time taken by B to cover 92 m = (72 + 8) = 80 sec.B's speed =92x18kmph= 4.14 kmph.805,races-and-games
"In a 500 m race, the ratio of the speeds of two contestants A and B is 3 : 4. A has a start of 140 m. Then, A wins by:","['60 m', '40 m', '20 m', '10 m']",C,"To reach the winning post A will have to cover a distance of (500 - 140)m,i.e.,360 m.While A covers 3 m, B covers 4 m.While A covers 360 m, B covers4x 360m= 480 m.3Thus, when A reaches the winning post, B covers 480 m and therefore remains 20 m behind.A wins by 20 m.",races-and-games
"In a 100 m race, A beats B by 10 m and C by 13 m. In a race of 180 m, B will beat C by:","['5.4 m', '4.5 m', '5 m', '6 m']",D,"A : B = 100 : 90.A : C = 100 : 87.B=BxA=90x100=30.CAC1008729When B runs 30 m, C runs 29 m.When B runs 180 m, C runs29x 180m= 174 m.30B beats C by (180 - 174) m = 6 m.",races-and-games
"At a game of billiards, A can give B 15 points in 60 and A can give C to 20 points in 60. How many points can B give C in a game of 90?","['30 points', '20 points', '10 points', '12 points']",C,A : B = 60 : 45.A : C = 60 : 40.B=BxA=45x60=45=90= 90 : 80.CAC60404080B can give C 10 points in a game of 90.,races-and-games
"In a race of 200 m, A can beat B by 31 m and C by 18 m. In a race of 350 m, C will beat B by:","['22.75 m', '25 m', '19.5 m', '74m7']",B,"A : B = 200 : 169.A : C = 200 : 182.C=CxA=182x200= 182 : 169.BAB200169When C covers 182 m, B covers 169 m.When C covers 350 m, B covers169x 350m= 325 m.182Therefore, C beats B by (350 - 325) m = 25 m.",races-and-games
"In 100 m race, A covers the distance in 36 seconds and B in 45 seconds. In this race A beats B by:","['20 m', '25 m', '22.5 m', '9 m']",A,Distance covered by B in 9 sec. =100x 9m= 20 m.45A beats B by 20 metres.,races-and-games
"In a game of 100 points, A can give B 20 points and C 28 points. Then, B can give C:","['8 points', '10 points', '14 points', '40 points']",B,A : B = 100 : 80.A : C = 100 : 72.B=BxA=80x100=10=100= 100 : 90.CAC10072990B can give C 10 points.,races-and-games
In a 200 metres race A beats B by 35 m or 7 seconds. A's time over the course is:,"['40 sec', '47 sec', '33 sec', 'None of these']",C,B runs 35 m in 7 sec.B covers 200 m in7x 200= 40 sec.35B's time over the course = 40 sec.A's time over the course (40 - 7) sec = 33 sec.,races-and-games
A can run 22.5 m while B runs 25 m. In a kilometre race B beats A by:,"['100 m', '1111m9', '25 m', '50 m']",A,"When B runs 25 m, A runs45m.2When B runs 1000 m, A runs45x1x 1000m= 900 m.225B beats A by 100 m.",races-and-games
In a 300 m race A beats B by 22.5 m  or 6 seconds. B's time over the course is:,"['86 sec', '80 sec', '76 sec', 'None of these']",B,B runs45m in 6 sec.2B covers 300 m in6 x2x 300sec= 80 sec.45,races-and-games
"A runs 1times as fast as B. If A gives B a start of 80 m, how far must the winning post be so that A and B might reach it at the same time?","['200 m', '300 m', '270 m', '160 m']",A,"Ratio of the speeds of A and B =5: 1 = 5 : 3.3Thus, in race of 5 m, A gains 2 m over B.2 m are gained by A in a race of 5 m.80 m will be gained by A in race of5x 80m= 200 m.2Winning post is 200 m away from the starting point.",races-and-games
"In a 100 m race, A can beat B by 25 m and B can beat C by 4 m. In the same race, A can beat C by:","['21 m', '26 m', '28 m', '29 m']",C,A : B = 100 : 75B : C = 100 : 96.A : C =AxB=100x100=100= 100 : 72.BC759672A beats C by (100 - 72) m = 28 m.,races-and-games
"In order to obtain an income of Rs. 650 from 10% stock at Rs. 96, one must make an investment of:","['Rs. 3100', 'Rs. 6240', 'Rs. 6500', 'Rs. 9600']",B,"To obtain Rs. 10, investment = Rs. 96.To obtain Rs. 650, investment = Rs.96x 650= Rs. 6240.10",stocks-and-shares
"A man bought 20 shares of Rs. 50 at 5 discount, the rate of dividend being 13. The rate of interest obtained is:","['121%2', '131%2', '15%', '162%3']",C,Investment = Rs. [20 x (50 - 5)] = Rs. 900.Face value = Rs. (50 x 20) = Rs. 1000.Dividend = Rs.27x1000= Rs. 135.2100Interest obtained =135x 100%= 15%900,stocks-and-shares
Which is better investment:  11% stock at 143  or  9% stock at 117?,"['11% stock at 143', '93% stock at 1174', 'Both are equally good', 'Cannot be compared, as the total amount of investment is not given.']",B,"Let investment in each case be Rs. (143 x 117).Income in 1stcase = Rs.11x 143 x 117= Rs. 1287.143Income in 2ndcase = Rs.39x 143 x 117= Rs. 1394.254 x 117Clearly, 93% stock at 117 is better.4",stocks-and-shares
A man buys Rs. 20 shares paying 9% dividend. The man wants to have an interest of 12% on his money. The market value of each share is:,"['Rs. 12', 'Rs. 15', 'Rs. 18', 'Rs. 21']",B,Dividend on Rs. 20 = Rs.9x 20= Rs.9.1005Rs. 12 is an income on Rs. 100.Rs.9is an income on Rs.100x9= Rs. 15.5125,stocks-and-shares
"By investing in 16% stock at 64, one earns Rs. 1500. The investment made is:","['Rs. 5640', 'Rs. 5760', 'Rs. 7500', 'Rs. 9600']",B,"To earn Rs.50, investment = Rs. 64.3To earn Rs. 1500, investment = Rs.64 x3x 1500= Rs. 5760.50",stocks-and-shares
A 6% stock yields 8%. The market value of the stock is:,"['Rs. 48', 'Rs. 75', 'Rs. 96', 'Rs. 133.33']",B,"For an income of Rs. 8, investment = Rs. 100.For an income of Rs. 6, investment = Rs.100x 6= Rs. 75.8Market value of Rs. 100 stock = Rs. 75.",stocks-and-shares
"A man invested Rs. 4455 in Rs. 10 shares quoted at Rs. 8.25. If the rate of dividend be 12%, his annual income is:","['Rs. 207.40', 'Rs. 534.60', 'Rs. 648', 'Rs. 655.60']",C,Number of shares =4455= 540.8.25Face value = Rs. (540 x 10) = Rs. 5400.Annual income = Rs.12x 5400= Rs. 648.100,stocks-and-shares
Rs. 9800 are invested partly in 9% stock at 75 and 10% stock at 80 to have equal amount of incomes. The investment in 9% stock is:,"['Rs. 4800', 'Rs. 5000', 'Rs. 5400', 'Rs. 5600']",B,"Let the investment in 9% stock be Rs.x.Then, investment in 10% stock = Rs. (9800 -x).9xx=10x (9800 -x)75803x=9800 -x25824x= 9800 x 25 - 25x49x= 9800 x 25x= 5000.",stocks-and-shares
"A man invests some money partly in 9% stock at 96 and partly in 12% stock at 120. To obtain equal dividends from both, he must invest the money in the ratio:","['3 : 4', '3 : 5', '4 : 5', '16 : 15']",D,"For an income of Re. 1 in 9% stock at 96, investment = Rs.96= Rs.3293For an income Re. 1 in 12% stock at 120, investment = Rs.120= Rs. 10.12Ratio of investments =32: 10 = 32 : 30 = 16 : 15.3",stocks-and-shares
"By investing Rs. 1620 in 8% stock, Michael earns Rs. 135. The stock is then quoted at:","['Rs. 80', 'Rs. 96', 'Rs. 106', 'Rs. 108']",B,"To earn Rs. 135, investment = Rs. 1620.To earn Rs. 8, investment = Rs.1620x 8= Rs. 96.135Market value of Rs. 100 stock = Rs.  96.",stocks-and-shares
A man invested Rs. 1552 in a stock at 97 to obtain an income of Rs. 128. The dividend from the stock is:,"['7.5%', '8%', '9.7%', 'None of these']",B,"By investing Rs. 1552, income = Rs. 128.By investing Rs. 97, income = Rs.128x 97= Rs. 8.1552Dividend = 8%",stocks-and-shares
A 12% stock yielding 10% is quoted at:,"['Rs. 83.33', 'Rs. 110', 'Rs. 112', 'Rs. 120']",D,"To earn Rs. 10, money invested = Rs. 100.To earn Rs. 12, money invested = Rs.100x 12= Rs. 120.10Market value of Rs. 100 stock = Rs. 120.",stocks-and-shares
"The market value of a 10.5% stock, in which an income of Rs. 756 is derived by investing Rs. 9000, brokerage being%, is:","['Rs. 108.25', 'Rs. 112.20', 'Rs. 124.75', 'Rs. 125.25']",C,"For an income of Rs. 756, investment = Rs. 9000.For an income of Rs.21, investment = Rs.9000x21= Rs. 125.27562For a Rs. 100 stock, investment = Rs. 125.Market value of Rs. 100 stock = Rs.125 -1= Rs. 124.754",stocks-and-shares
"The cost price of a Rs. 100 stock at 4 discount, when brokerage is1%is:4","['Rs. 95.75', 'Rs. 96', 'Rs. 96.25', 'Rs. 104.25']",C,C.P. = Rs.100 - 4 +1= Rs. 96.254,stocks-and-shares
"Sakshi invests a part of Rs. 12,000 in 12% stock at Rs. 120 and the remainder in 15% stock at Rs. 125. If his total dividend per annum is Rs. 1360, how much does he invest in 12% stock at Rs. 120?","['Rs. 4000', 'Rs. 4500', 'Rs. 5500', 'Rs. 6000']",A,"Let investment in 12% stock be Rs.x.Then, investment in 15% stock = Rs. (12000 -x).12xx+15x (12000 -x) = 1360.120125x+3(12000 -x) = 1360.10255x+ 72000 - 6x= 1360 x 50x= 4000.",stocks-and-shares
Tickets numbered 1 to 20 are mixed up and then a ticket is drawn at random. What is the probability that the ticket drawn has a number which is a multiple of 3 or 5?,"['12', '25', '815', '920']",D,"Here, S = {1, 2, 3, 4, ...., 19, 20}.Let E = event of getting a multiple of 3 or 5 = {3, 6 , 9, 12, 15, 18, 5, 10, 20}.P(E) =n(E)=9.n(S)20",probability
"A bag contains 2 red, 3 green and 2 blue balls. Two balls are drawn at random. What is the probability that none of the balls drawn is blue?","['1021', '1121', '27', '57']",A,"Total number of balls = (2 + 3 + 2) = 7.Let S be the sample space.Then,n(S)= Number of ways of drawing 2 balls out of 7=7C2`=(7 x 6)(2 x 1)= 21.Let E = Event of drawing 2 balls, none of which is blue.n(E)= Number of ways of drawing 2 balls out of (2 + 3) balls.=5C2=(5 x 4)(2 x 1)= 10.P(E) =n(E)=10.n(S)21",probability
"In a box, there are 8 red, 7 blue and 6 green balls. One ball is picked up randomly. What is the probability that it is neither red nor green?","['13', '34', '719', '821', '921']",A,Total number of balls = (8 + 7 + 6) = 21.Let E= event that the ball drawn is neither red nor green= event that the ball drawn is blue.n(E) = 7.P(E) =n(E)=7=1.n(S)213,probability
What is the probability of getting a sum 9 from two throws of a dice?,"['16', '18', '19', '112']",C,"In two throws of a dice,n(S) = (6 x 6) = 36.Let E = event of getting a sum ={(3, 6), (4, 5), (5, 4), (6, 3)}.P(E) =n(E)=4=1.n(S)369",probability
Three unbiased coins are tossed. What is the probability of getting at most two heads?,"['34', '14', '38', '78']",D,"Here S = {TTT, TTH, THT, HTT, THH, HTH, HHT, HHH}Let E = event of getting at most two heads.Then E = {TTT, TTH, THT, HTT, THH, HTH, HHT}.P(E) =n(E)=7.n(S)8",probability
Two dice are thrown simultaneously. What is the probability of getting two numbers whose product is even?,"['12', '34', '38', '516']",B,"In a simultaneous throw of two dice, we haven(S) = (6 x 6) = 36.Then, E= {(1, 2), (1, 4), (1, 6), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (3, 2), (3, 4),(3, 6), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (5, 2), (5, 4), (5, 6), (6, 1),(6, 2), (6, 3), (6, 4), (6, 5), (6, 6)}n(E) = 27.P(E) =n(E)=27=3.n(S)364",probability
"In a class, there are 15 boys and 10 girls. Three students are selected at random. The probability that 1 girl and 2 boys are selected, is:","['2146', '25117', '150', '325']",A,"Let S be the sample space and E be the event of selecting 1 girl and 2 boys.Then,n(S)= Number ways of selecting 3 students out of 25=25C3`=(25 x 24 x 23)(3 x 2 x 1)= 2300.n(E)= (10C1x15C2)=10 x(15 x 14)(2 x 1)= 1050.P(E) =n(E)=1050=21.n(S)230046",probability
"In a lottery, there are 10 prizes and 25 blanks. A lottery is drawn at random. What is the probability of getting a prize?","['110', '25', '27', '57']",C,P (getting a prize) =10=10=2.(10 + 25)357,probability
"From a pack of 52 cards, two cards are drawn together at random. What is the probability of both the cards being kings?","['115', '2557', '35256', '1221']",D,"Let S be the sample space.Then,n(S) =52C2=(52 x 51)= 1326.(2 x 1)Let E = event of getting 2 kings out of 4.n(E) =4C2=(4 x 3)= 6.(2 x 1)P(E) =n(E)=6=1.n(S)1326221",probability
Two dice are tossed. The probability that the total score is a prime number is:,"['16', '512', '12', '79']",B,"Clearly,n(S) = (6 x 6) = 36.Let E = Event that the sum is a prime number.Then E= { (1, 1), (1, 2), (1, 4), (1, 6), (2, 1), (2, 3), (2, 5), (3, 2), (3, 4), (4, 1), (4, 3),(5, 2), (5, 6), (6, 1), (6, 5) }n(E) = 15.P(E) =n(E)=15=5.n(S)3612",probability
A card is drawn from a pack of 52 cards. The probability of getting a queen of club or a king of heart is:,"['113', '213', '126', '152']",C,"Here,n(S) = 52.Let E = event of getting a queen of club or a king of heart.Then,n(E) = 2.P(E) =n(E)=2=1.n(S)5226",probability
"A bag contains 4 white, 5 red and 6 blue balls. Three balls are drawn at random from the bag. The probability that all of them are red, is:","['122', '322', '291', '277']",C,"Let S be the sample space.Then,n(S)= number of ways of drawing 3 balls out of 15=15C3=(15 x 14 x 13)(3 x 2 x 1)= 455.Let E = event of getting all the 3 red balls.n(E) =5C3=5C2=(5 x 4)= 10.(2 x 1)P(E) =n(E)=10=2.n(S)45591",probability
"Two cards are drawn together from a pack of 52 cards. The probability that one is a spade and one is a heart, is:","['320', '2934', '47100', '13102']",D,"Let S be the sample space.Then,n(S) =52C2=(52 x 51)= 1326.(2 x 1)Let E = event of getting 1 spade and 1 heart.n(E)= number of ways of choosing 1 spade out of 13 and 1 heart out of 13= (13C1x13C1)= (13 x 13)= 169.P(E) =n(E)=169=13.n(S)1326102",probability
"One card is drawn at random from a pack of 52 cards. What is the probability that the card drawn is a face card (Jack, Queen and King only)?","['113', '313', '14', '952']",B,"Clearly, there are 52 cards, out of which there are 12 face cards.P (getting a face card) =12=3.5213",probability
A bag contains 6 black and 8 white balls. One ball is drawn at random. What is the probability that the ball drawn is white?,"['34', '47', '18', '37']",B,Let number of balls = (6 + 8) = 14.Number of white balls = 8.P (drawing a white ball) =8=4.147,probability
"A man purchased a cow for Rs. 3000 and sold it the same day for Rs. 3600, allowing the buyer a credit of 2 years. If the rate of interest be 10% per annum, then the man has a gain of:","['0%', '5%', '7.5%', '10%']",A,C.P. = Rs. 3000.S.P. = Rs.3600 x 100= Rs. 3000.100 + (10 x 2)Gain = 0%.,true-discount
The true discount on Rs. 2562 due 4 months hence is Rs. 122. The rate percent is:,"['12%', '131%3', '15%', '14%']",C,P.W. = Rs. (2562 - 122) = Rs. 2440.S.I. on Rs. 2440 for 4 months is Rs. 122.Rate =100 x 122%= 15%.2440 x13,true-discount
"A trader owes a merchant Rs. 10,028 due 1 year hence. The trader wants to settle the account after 3 months. If the rate of interest 12% per annum, how much cash should he pay?","['Rs. 9025.20', 'Rs. 9200', 'Rs. 9600', 'Rs. 9560']",B,Required money= P.W. of Rs. 10028 due 9 months hence= Rs.10028 x 100100 +12 x912= Rs. 9200.,true-discount
"A man wants to sell his scooter. There are two offers, one at Rs. 12,000 cash and the other a credit of Rs. 12,880 to be paid after 8 months, money being at 18% per annum. Which is the better offer?","['Rs. 12,000 in cash', 's. 12,880 at credit', 'Both are equally good']",A,"P.W. of Rs. 12,880 due 8 months hence= Rs.12880 x 100100 +18 x812= Rs.12880 x 100112= Rs. 11500.",true-discount
"If Rs. 10 be allowed as true discount on a bill of Rs. 110 due at the end of a certain time, then the discount allowed on the same sum due at the end of double the time is:","['Rs. 20', 'Rs. 21.81', 'Rs. 22', 'Rs. 18.33']",D,S.I. on Rs. (110 - 10) for a certain time = Rs. 10.S.I. on Rs. 100 for double the time = Rs. 20.T.D. on Rs. 120 = Rs. (120 - 100) = Rs. 20.T.D. on Rs. 110 = Rs.20x 110= Rs. 18.33120,true-discount
Goods were bought for Rs. 600 and sold the same for Rs. 688.50 at a credit of 9 months and thus gaining 2% The rate of interest per annum is:,"['162%3', '141%2', '131%3', '15%']",A,"S.P. = 102% of Rs. 600 =102x 600= Rs. 612.100Now, P.W. = Rs. 612 and sum = Rs. 688.50.T.D. = Rs. (688.50 - 612) = Rs. 76.50.Thus, S.I. on Rs. 612 for 9 months is Rs. 76.50.Rate =100 x 76.50%= 16%612 x34",true-discount
The true discount on a bill due 9 months hence at 16% per annum is Rs. 189. The amount of the bill is:,"['Rs. 1386', 'Rs. 1764', 'Rs. 1575', 'Rs. 2268']",B,"Let P.W. be Rs.x.Then, S.I. on Rs.xat 16% for 9 months = Rs. 189.xx 16 x9x1= 189 orx= 1575.12100P.W. = Rs. 1575.Sum due = P.W. + T.D. = Rs. (1575 + 189) = Rs. 1764.",true-discount
"A man buys a watch for Rs. 1950 in cash and sells it for Rs. 2200 at a credit of 1 year. If the rate of interest is 10% per annum, the man:","['gains Rs. 55', 'gains Rs. 50', 'loses Rs. 30', 'gains Rs. 30']",B,S.P.= P.W. of Rs. 2200 due 1 year hence= Rs.2200 x 100100 + (10 x 1)= Rs. 2000.Gain = Rs. (2000 - 1950) = Rs. 50.,true-discount
The true discount on Rs. 1760 due after a certain time at 12% per annum is Rs. 160. The time after which it is due is:,"['6 months', '8 months', '9 months', '10 months']",D,P.W. = Rs. (1760 -160) = Rs. 1600.S.I. on Rs. 1600 at 12% is Rs. 160.Time =100 x 160=5years =5x 12months = 10 months.1600 x 1266,true-discount
"The present worth of Rs. 2310 due 2years hence, the rate of interest being 15% per annum, is:","['Rs. 1750', 'Rs. 1680', 'Rs. 1840', 'Rs. 1443.75']",B,P.W. = Rs.100 x 2310= Rs. 1680.100 +15 x52,true-discount
"Rs. 20 is the true discount on Rs. 260 due after a certain time. What will be the true discount on the same sum due after half of the former time, the rate of interest being the same?","['Rs. 10', 'Rs. 10.40', 'Rs. 15.20', 'Rs. 13']",B,S.I. on Rs. (260 - 20) for a given time = Rs. 20.S.I. on Rs. 240 for half the time = Rs. 10.T.D. on Rs. 250 = Rs. 10.T.D. on Rs. 260 = Rs.10x 260= Rs. 10.40250,true-discount
"The interest on Rs. 750 for 2 years is the same as the true discount on Rs. 960 due 2 years hence. If the rate of interest is the same in both cases, it is:","['12%', '14%', '15%', '162%3']",B,"S.I. on Rs. 750 = T.D. on Rs. 960.This means P.W. of Rs. 960 due 2 years hence is Rs. 750.T.D. = Rs. (960 - 750) = Rs. 210.Thus, S.I. on R.s 750 for 2 years is Rs. 210.Rate =100 x 210%= 14%750 x 2",true-discount
The simple interest and the true discount on a certain sum for a given time and at a given rate are Rs. 85 and Rs. 80 respectively. The sum is:,"['Rs. 1800', 'Rs. 1450', 'Rs. 1360', 'Rs. 6800']",C,Sum =S.I. x T.D.=85 x 80= Rs. 1360.(S.I.) - (T.D.)(85 - 80),true-discount
The present worth of Rs. 1404 due in two equal half-yearly installments at 8% per annum simple interest is:,"['Rs. 1325', 'Rs. 1300', 'Rs. 1350', 'Rs. 1500']",A,Required sum= P.W. of Rs. 702 due 6 months + P.W. of Rs. 702 due 1 year hence= Rs.100 x 702+100 x 702100 + (8 x 1)100 + 8 x= Rs. (675 + 650)= Rs. 1325.,true-discount
"If the true discount on s sum due 2 years hence at 14% per annum be Rs. 168, the sum due is:","['Rs. 768', 'Rs. 968', 'Rs. 1960', 'Rs. 2400']",A,P.W. =100 x T.D.=100 x 168= 600.R x T14 x 2Sum = (P.W. + T.D.) = Rs. (600 + 168) = Rs. 768.,true-discount
The banker's discount on a bill due 4 months hence at 15% is Rs. 420. The true discount is:,"['Rs. 400', 'Rs. 360', 'Rs. 480', 'Rs. 320']",A,T.D.=B.D. x 100100 + (R x T)= Rs.420 x 100100 +15 x13= Rs.420 x 100105= Rs. 400.,bankers-discount
The banker's discount on Rs. 1600 at 15% per annum is the same as true discount on Rs. 1680 for the same time and at the same rate. The time is:,"['3 months', '4 months', '6 months', '8 months']",B,"S.I. on Rs. 1600 = T.D. on Rs. 1680.Rs. 1600 is the P.W. of Rs. 1680,i.e.,Rs. 80 is on Rs. 1600 at 15%.Time =100 x 80year=1year = 4 months.1600 x 153",bankers-discount
The banker's gain of a certain sum due 2 years hence at 10% per annum is Rs. 24. The present worth is:,"['Rs. 480', 'Rs. 520', 'Rs. 600', 'Rs. 960']",C,T.D. =B.G. x 100= Rs.24 x 100= Rs. 120.Rate x Time10 x 2P.W. =100 x T.D.= Rs.100 x 120= Rs. 600.Rate x Time10 x 2,bankers-discount
The banker's discount on a sum of money for 1years is Rs. 558 and the true discount on the same sum for 2 years is Rs. 600. The rate percent is:,"['10%', '13%', '12%', '15%']",C,"B.D. foryears= Rs. 558.B.D. for 2 years= Rs.558 x2x 23= Rs. 744T.D. for 2 years = Rs. 600.Sum =B.D. x T.D.= Rs.744 x 600= Rs. 3100.B.D. - T.D144Thus, Rs. 744 is S.I. on Rs. 3100 for 2 years.Rate =100 x 744%= 12%3100 x 2",bankers-discount
The banker's gain on a sum due 3 years hence at 12% per annum is Rs. 270. The banker's discount is:,"['Rs. 960', 'Rs. 840', 'Rs. 1020', 'Rs. 760']",C,T.D. =B.G. x 100= Rs.270 x 100= Rs. 750.R x T12 x 3B.D. = Rs.(750 + 270) = Rs. 1020.,bankers-discount
